Sample in Buffer,Sample in Window,TRIGGER,soc_i/axi_rffe_iic_o_i2c_scl_tx,soc_i/axi_rffe_iic_o_i2c_sda_tx,soc_i/i_i2c_scl_rx_1,soc_i/i_i2c_sda_rx_1
26444,26444,0,0,0,0,0
26445,26445,0,1,0,1,0
26446,26446,0,0,0,0,0
26447,26447,0,1,1,1,0
26448,26448,0,0,1,0,0
26449,26449,0,0,1,0,1
26450,26450,0,0,0,0,0
26451,26451,0,1,0,1,0
26452,26452,0,0,0,0,0
26453,26453,0,1,0,1,0
26454,26454,0,0,0,0,0
26455,26455,0,1,0,1,0
26456,26456,0,0,0,0,0
26457,26457,0,0,1,0,1
26458,26458,0,1,1,1,1
26459,26459,0,0,1,0,1
26460,26460,0,0,0,0,0
26461,26461,0,1,0,1,0
26462,26462,0,0,0,0,0
26463,26463,0,1,0,1,0
26464,26464,0,0,0,0,0
26465,26465,0,1,0,1,0
26466,26466,0,0,0,0,0
26467,26467,0,1,0,1,0
26468,26468,0,0,0,0,0
26469,26469,0,1,1,1,0
26470,26470,0,0,1,0,0
26471,26471,0,0,1,0,1
26472,26472,0,0,0,0,0
26473,26473,0,1,0,1,0
26474,26474,0,0,0,0,0
26475,26475,0,1,0,1,0
26476,26476,0,0,0,0,0
26477,26477,0,1,0,1,0
26478,26478,0,0,0,0,0
26479,26479,0,0,1,0,1
26480,26480,0,1,1,1,1
26481,26481,0,0,1,0,1
26482,26482,0,1,1,1,1
26483,26483,0,0,1,0,1
26484,26484,0,0,0,0,0
26485,26485,0,1,0,1,0
26486,26486,0,0,0,0,0
26487,26487,0,0,1,0,1
26488,26488,0,1,1,1,1
26489,26489,0,0,1,0,1
26490,26490,0,1,1,1,1
26491,26491,0,0,1,0,1
26492,26492,0,0,1,0,0
26493,26493,0,1,1,1,0
26494,26494,0,0,1,0,0
26495,26495,0,0,1,0,1
26496,26496,0,0,0,0,0
26497,26497,0,1,0,1,0
26498,26498,0,1,1,1,1
